"Date","Rolling 14-Day Percent of Tests Positive","min","Level Blue: Caution","Level Yellow: Concern","Level Orange: High Risk","Level Red: Severe Risk"
2020-07-29,2.9296875,0,5,10,15,36.2068965517241
2020-07-28,2.90135396518375,0,5,10,15,36.2068965517241
2020-07-27,2.51346499102334,0,5,10,15,36.2068965517241
2020-07-26,2.32974910394265,0,5,10,15,36.2068965517241
2020-07-25,2.26876090750436,0,5,10,15,36.2068965517241
2020-07-24,2.20183486238532,0,5,10,15,36.2068965517241
2020-07-23,1.86567164179104,0,5,10,15,36.2068965517241
2020-07-22,2.35756385068762,0,5,10,15,36.2068965517241
2020-07-21,2.35507246376812,0,5,10,15,36.2068965517241
2020-07-20,2.17821782178218,0,5,10,15,36.2068965517241
2020-07-19,2.39520958083832,0,5,10,15,36.2068965517241
2020-07-18,2.38095238095238,0,5,10,15,36.2068965517241
2020-07-17,2.76243093922652,0,5,10,15,36.2068965517241
2020-07-16,2.57289879931389,0,5,10,15,36.2068965517241
2020-07-15,2.32558139534884,0,5,10,15,36.2068965517241
2020-07-14,2.32142857142857,0,5,10,15,36.2068965517241
2020-07-13,2.85714285714286,0,5,10,15,36.2068965517241
2020-07-12,2.9520295202952,0,5,10,15,36.2068965517241
2020-07-11,3,0,5,10,15,36.2068965517241
2020-07-10,3.15398886827458,0,5,10,15,36.2068965517241
2020-07-09,3.39321357285429,0,5,10,15,36.2068965517241
2020-07-08,3.19148936170213,0,5,10,15,36.2068965517241
2020-07-07,3.54609929078014,0,5,10,15,36.2068965517241
2020-07-06,3.48837209302326,0,5,10,15,36.2068965517241
2020-07-05,3.38600451467269,0,5,10,15,36.2068965517241
2020-07-04,3.57941834451902,0,5,10,15,36.2068965517241
2020-07-03,3.25,0,5,10,15,36.2068965517241
2020-07-02,3.20855614973262,0,5,10,15,36.2068965517241
2020-07-01,3.19148936170213,0,5,10,15,36.2068965517241
2020-06-30,3.50877192982456,0,5,10,15,36.2068965517241
2020-06-29,2.58899676375405,0,5,10,15,36.2068965517241
2020-06-28,2.43161094224924,0,5,10,15,36.2068965517241
2020-06-27,2.92397660818713,0,5,10,15,36.2068965517241
2020-06-26,2.7681660899654,0,5,10,15,36.2068965517241
2020-06-25,3.25732899022801,0,5,10,15,36.2068965517241
2020-06-24,3.32326283987915,0,5,10,15,36.2068965517241
2020-06-23,3.18471337579618,0,5,10,15,36.2068965517241
2020-06-22,3.87096774193548,0,5,10,15,36.2068965517241
2020-06-21,3.69230769230769,0,5,10,15,36.2068965517241
2020-06-20,3.61842105263158,0,5,10,15,36.2068965517241
2020-06-19,5.37974683544304,0,5,10,15,36.2068965517241
2020-06-18,5.9190031152648,0,5,10,15,36.2068965517241
2020-06-17,6.05095541401274,0,5,10,15,36.2068965517241
2020-06-16,6.00600600600601,0,5,10,15,36.2068965517241
2020-06-15,7.39644970414201,0,5,10,15,36.2068965517241
2020-06-14,7.92682926829268,0,5,10,15,36.2068965517241
2020-06-13,8.61538461538461,0,5,10,15,36.2068965517241
2020-06-12,9.09090909090909,0,5,10,15,36.2068965517241
2020-06-11,9.34844192634561,0,5,10,15,36.2068965517241
2020-06-10,10.8262108262108,0,5,10,15,36.2068965517241
2020-06-09,10.655737704918,0,5,10,15,36.2068965517241
2020-06-08,10.4712041884817,0,5,10,15,36.2068965517241
2020-06-07,11.8251928020566,0,5,10,15,36.2068965517241
2020-06-06,12.1761658031088,0,5,10,15,36.2068965517241
2020-06-05,12.1621621621622,0,5,10,15,36.2068965517241
2020-06-04,13.3903133903134,0,5,10,15,36.2068965517241
2020-06-03,14.327485380117,0,5,10,15,36.2068965517241
2020-06-02,14.6341463414634,0,5,10,15,36.2068965517241
2020-06-01,14.4736842105263,0,5,10,15,36.2068965517241
2020-05-31,17.0347003154574,0,5,10,15,36.2068965517241
2020-05-30,16.4516129032258,0,5,10,15,36.2068965517241
2020-05-29,16.9550173010381,0,5,10,15,36.2068965517241
2020-05-28,17.1328671328671,0,5,10,15,36.2068965517241
2020-05-27,17.0289855072464,0,5,10,15,36.2068965517241
2020-05-26,17.0454545454545,0,5,10,15,36.2068965517241
2020-05-25,16.9291338582677,0,5,10,15,36.2068965517241
2020-05-24,16.7381974248927,0,5,10,15,36.2068965517241
2020-05-23,17.2268907563025,0,5,10,15,36.2068965517241
2020-05-22,15.5038759689922,0,5,10,15,36.2068965517241
2020-05-21,14.4444444444444,0,5,10,15,36.2068965517241
2020-05-20,13.1944444444444,0,5,10,15,36.2068965517241
2020-05-19,13.1672597864769,0,5,10,15,36.2068965517241
2020-05-18,11.3314447592068,0,5,10,15,36.2068965517241
2020-05-17,7.8740157480315,0,5,10,15,36.2068965517241
2020-05-16,7.73333333333333,0,5,10,15,36.2068965517241
2020-05-15,8.72641509433962,0,5,10,15,36.2068965517241
2020-05-14,8.56481481481481,0,5,10,15,36.2068965517241
2020-05-13,8.87290167865707,0,5,10,15,36.2068965517241
2020-05-12,9.8876404494382,0,5,10,15,36.2068965517241
2020-05-11,10.0671140939597,0,5,10,15,36.2068965517241
2020-05-10,11.1332007952286,0,5,10,15,36.2068965517241
2020-05-09,10.6212424849699,0,5,10,15,36.2068965517241
2020-05-08,10.546875,0,5,10,15,36.2068965517241
2020-05-07,10.4938271604938,0,5,10,15,36.2068965517241
2020-05-06,11.0236220472441,0,5,10,15,36.2068965517241
2020-05-05,11.4,0,5,10,15,36.2068965517241
2020-05-04,12.6794258373206,0,5,10,15,36.2068965517241
2020-05-03,14.2857142857143,0,5,10,15,36.2068965517241
2020-05-02,14.55525606469,0,5,10,15,36.2068965517241
2020-05-01,14.1955835962145,0,5,10,15,36.2068965517241
2020-04-30,15.8088235294118,0,5,10,15,36.2068965517241
2020-04-29,15.5797101449275,0,5,10,15,36.2068965517241
2020-04-28,14.8760330578512,0,5,10,15,36.2068965517241
2020-04-27,16,0,5,10,15,36.2068965517241
2020-04-26,15,0,5,10,15,36.2068965517241
2020-04-25,16.6666666666667,0,5,10,15,36.2068965517241
2020-04-24,20.353982300885,0,5,10,15,36.2068965517241
2020-04-23,21.0526315789474,0,5,10,15,36.2068965517241
2020-04-22,28.5714285714286,0,5,10,15,36.2068965517241
2020-04-21,26.1538461538462,0,5,10,15,36.2068965517241
2020-04-20,26.1538461538462,0,5,10,15,36.2068965517241
2020-04-19,27.2727272727273,0,5,10,15,36.2068965517241
