"Date","Fully Vaccinated (%)","At least 1 dose (%)","min","Goal (75%)"
"03/25/2021",25.2077355889257,43.544360397958,0,75
"03/26/2021",26.2398926854716,46.9873681857138,0,75
"03/27/2021",26.4858218131684,47.2593807057421,0,75
"03/28/2021",26.5715243879718,47.415881059731,0,75
"03/29/2021",26.6050601781123,47.6357267950963,0,75
"03/30/2021",26.8100011178597,48.187204232962,0,75
"03/31/2021",27.4695383239557,51.4848902634423,0,75
"04/01/2021",31.4901069419086,52.7368930953534,0,75
"04/02/2021",32.7048477847747,58.0355479375489,0,75
"04/03/2021",33.2004322390729,58.4677870104706,0,75
"04/04/2021",33.2376942281179,58.5274061929426,0,75
"04/05/2021",33.3718373886798,58.7994187129709,0,75
"04/06/2021",33.6065879196632,59.3732533442635,0,75
"04/07/2021",34.4375302753661,60.2302790922979,0,75
"04/08/2021",34.7691619778664,64.5675746171331,0,75
