"Fecha","Porcentaje de pruebas que son positivas","Promedio de 7 dias"
2020-12-12,6.10687022900763,8.3905011367889
2020-12-11,10.3806228373702,9.03665128405103
2020-12-10,9.55414012738854,9.11280596210618
2020-12-09,7.46268656716418,9.68070191029438
2020-12-08,7.05882352941176,10.4334746136589
2020-12-07,8.28025477707006,11.627216932721
2020-12-06,9.89010989010989,12.1600096676493
2020-12-05,10.6299212598425,11.9353625891
2020-12-04,10.9137055837563,12.057267207482
2020-12-03,13.5294117647059,11.6226978550337
2020-12-02,12.7320954907162,10.7425563247374
2020-12-01,15.4150197628458,10.0136669874737
2020-11-30,12.0098039215686,8.85864172591528
2020-11-29,8.31758034026465,8.43785937788835
2020-11-28,11.4832535885167,7.88810129256722
2020-11-27,7.87172011661808,7.54254042069056
2020-11-26,7.36842105263158,7.37539587239953
