"Date","12-15","16-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"03/08/2021",0,0.736842105263158,4.93502475247525,9.02160101651842,12.9177718832891,16.1955907292256,28.7262872628726,68.4969753373662,49.6491228070175
"03/09/2021",0,0.842105263157895,4.95049504950495,9.05336721728081,12.9973474801061,16.223855285472,28.9972899728997,68.822708236389,50.1754385964912
"03/10/2021",0,0.842105263157895,4.95049504950495,9.13278271918679,13.1564986737401,16.280384397965,29.1779584462511,69.0553745928339,50.1754385964912
"03/11/2021",0,0.842105263157895,4.99690594059406,9.22808132147395,13.236074270557,16.3651780667044,29.9909665763324,69.1484411354118,50.5263157894737
"03/12/2021",0,0.947368421052632,5.12066831683168,9.29161372299873,13.5278514588859,16.7326172979084,32.5504366154773,69.2415076779898,50.8771929824561
"03/13/2021",0,0.947368421052632,5.56930693069307,10.133418043202,14.9071618037135,17.7784058790277,35.7723577235772,69.6137738483015,51.2280701754386
"03/14/2021",0,0.947368421052632,5.58477722772277,10.1810673443456,15.0397877984085,17.8066704352742,36.0433604336043,69.6603071195905,51.2280701754386
"03/15/2021",0,0.947368421052632,5.63118811881188,10.2445997458704,15.2254641909814,17.8631995477671,36.8864799759109,69.7533736621685,51.2280701754386
"03/16/2021",0,0.947368421052632,5.67759900990099,10.3716645489199,15.2519893899204,18.0045223289994,37.8801565793436,69.7999069334574,51.2280701754386
"03/17/2021",0,0.947368421052632,5.7394801980198,10.4510800508259,15.4641909814324,18.1175805539853,39.0545016561277,70.0325732899023,51.2280701754386
"03/18/2021",0,0.947368421052632,5.86324257425743,10.6734434561626,15.8620689655172,18.7111362351611,47.0039144835893,70.8701721731038,51.5789473684211
"03/19/2021",0,1.15789473684211,6.28094059405941,11.277001270648,16.710875331565,19.3329564725834,49.1719361638061,71.3355048859935,51.9298245614035
"03/20/2021",0,1.15789473684211,6.54393564356436,11.9758576874206,17.8779840848806,20.4635387224421,58.8979223125565,72.2196370404839,52.1052631578947
"03/21/2021",0,1.15789473684211,6.57487623762376,11.9917407878018,17.9310344827586,20.4635387224421,59.9518217404396,72.4057701256398,52.1052631578947
"03/22/2021",0,1.15789473684211,6.57487623762376,11.9917407878018,17.9840848806366,20.4635387224421,60.0421559771153,72.4523033969288,52.1052631578947
"03/23/2021",0,2.31578947368421,8.8335396039604,14.1677255400254,20.3448275862069,21.5941209723007,60.2830472749172,72.5453699395068,52.1052631578947
"03/24/2021",0,2.31578947368421,8.8644801980198,14.2630241423126,20.4774535809019,21.6789146410401,60.7046070460705,72.6384364820847,52.1052631578947
"03/25/2021",0,2.31578947368421,8.8644801980198,14.3106734434562,20.5305039787798,21.791972866026,60.9454983438723,72.7315030246626,52.1052631578947
"03/26/2021",0,2.42105263157895,9.09653465346535,14.4853875476493,21.0610079575597,23.911814584511,65.4019873532069,73.0572359236854,52.280701754386
"03/27/2021",0,2.52631578947368,9.12747524752475,14.5489199491741,21.1936339522546,24.1661955907292,66.7570009033424,73.1037691949744,52.280701754386
"03/28/2021",0,2.52631578947368,9.14294554455446,14.5806861499365,21.2466843501326,24.2792538157151,67.1484492622704,73.1968357375523,52.280701754386
"03/29/2021",0,2.52631578947368,9.14294554455446,14.6124523506989,21.3527851458886,24.3075183719616,67.2086720867209,73.2433690088413,52.280701754386
"03/30/2021",0,2.63157894736842,9.28217821782178,14.8030495552732,21.5649867374005,24.5901639344262,67.6904546823246,73.3364355514193,52.280701754386
