"Fecha","hispano/latinx","otro","blanco","desconocido"
2020-11-16,358.365080390005,12.9140569509912,229.224510880093,655.388390262801
2020-11-15,364.8221088655,12.9140569509912,219.53896816685,645.702847549558
2020-11-14,348.679537676761,12.9140569509912,206.624911215858,623.103247885323
2020-11-13,358.365080390005,12.9140569509912,216.310453929102,636.017304836314
2020-11-12,374.507651578743,9.68554271324337,219.53896816685,648.931361787305
2020-11-11,384.193194291987,12.9140569509912,203.396396978111,632.788790598567
2020-11-10,377.736165816491,9.68554271324337,203.396396978111,603.732162458836
2020-11-09,371.279137340996,12.9140569509912,203.396396978111,600.503648221089
2020-11-08,380.964680054239,16.1425711887389,209.853425453606,594.046619745593
2020-11-07,342.222509201266,12.9140569509912,213.081939691354,581.132562794602
2020-11-06,290.566281397301,19.3710854264867,196.939368502615,584.36107703235
