"Fecha","positivos nuevos por 100,000 personas en los 14 dias anteriores","min","Nivel Azul: Precacion","Nivel Amarillo: Preocupaction","Nivel Anaranjado: Alto Riesgo","Nivel Rojo: Reisgo severo"
"2020-06-03",148.511654936398,0,75,175,350,1307.54826628785
"2020-06-04",142.054626460903,0,75,175,350,1307.54826628785
"2020-06-05",138.826112223155,0,75,175,350,1307.54826628785
"2020-06-06",142.054626460903,0,75,175,350,1307.54826628785
"2020-06-07",135.597597985407,0,75,175,350,1307.54826628785
"2020-06-08",125.912055272164,0,75,175,350,1307.54826628785
"2020-06-09",122.683541034416,0,75,175,350,1307.54826628785
"2020-06-10",116.22651255892,0,75,175,350,1307.54826628785
"2020-06-11",112.997998321173,0,75,175,350,1307.54826628785
"2020-06-12",100.083941370181,0,75,175,350,1307.54826628785
"2020-06-13",90.3983986569381,0,75,175,350,1307.54826628785
"2020-06-14",80.7128559436947,0,75,175,350,1307.54826628785
"2020-06-15",83.9413701814425,0,75,175,350,1307.54826628785
"2020-06-16",80.7128559436947,0,75,175,350,1307.54826628785
"2020-06-17",67.7987989927036,0,75,175,350,1307.54826628785
"2020-06-18",67.7987989927036,0,75,175,350,1307.54826628785
"2020-06-19",64.5702847549558,0,75,175,350,1307.54826628785
"2020-06-20",51.6562278039646,0,75,175,350,1307.54826628785
"2020-06-21",51.6562278039646,0,75,175,350,1307.54826628785
"2020-06-22",45.199199328469,0,75,175,350,1307.54826628785
"2020-06-23",38.7421708529735,0,75,175,350,1307.54826628785
"2020-06-24",38.7421708529735,0,75,175,350,1307.54826628785
"2020-06-25",41.9706850907213,0,75,175,350,1307.54826628785
"2020-06-26",35.5136566152257,0,75,175,350,1307.54826628785
"2020-06-27",41.9706850907213,0,75,175,350,1307.54826628785
"2020-06-28",38.7421708529735,0,75,175,350,1307.54826628785
"2020-06-29",35.5136566152257,0,75,175,350,1307.54826628785
"2020-06-30",38.7421708529735,0,75,175,350,1307.54826628785
"2020-07-01",61.341770517208,0,75,175,350,1307.54826628785
"2020-07-02",64.5702847549558,0,75,175,350,1307.54826628785
"2020-07-03",64.5702847549558,0,75,175,350,1307.54826628785
"2020-07-04",71.0273132304514,0,75,175,350,1307.54826628785
"2020-07-05",71.0273132304514,0,75,175,350,1307.54826628785
"2020-07-06",71.0273132304514,0,75,175,350,1307.54826628785
"2020-07-07",77.4843417059469,0,75,175,350,1307.54826628785
"2020-07-08",93.6269128946859,0,75,175,350,1307.54826628785
"2020-07-09",96.8554271324337,0,75,175,350,1307.54826628785
"2020-07-10",106.540969845677,0,75,175,350,1307.54826628785
"2020-07-11",100.083941370181,0,75,175,350,1307.54826628785
"2020-07-12",100.083941370181,0,75,175,350,1307.54826628785
"2020-07-13",103.312455607929,0,75,175,350,1307.54826628785
"2020-07-14",93.6269128946859,0,75,175,350,1307.54826628785
"2020-07-15",71.0273132304514,0,75,175,350,1307.54826628785
"2020-07-16",74.2558274681991,0,75,175,350,1307.54826628785
"2020-07-17",77.4843417059469,0,75,175,350,1307.54826628785
"2020-07-18",71.0273132304514,0,75,175,350,1307.54826628785
"2020-07-19",71.0273132304514,0,75,175,350,1307.54826628785
"2020-07-20",74.2558274681991,0,75,175,350,1307.54826628785
"2020-07-21",74.2558274681991,0,75,175,350,1307.54826628785
"2020-07-22",58.1132562794602,0,75,175,350,1307.54826628785
"2020-07-23",58.1132562794602,0,75,175,350,1307.54826628785
"2020-07-24",61.341770517208,0,75,175,350,1307.54826628785
"2020-07-25",64.5702847549558,0,75,175,350,1307.54826628785
"2020-07-26",67.7987989927036,0,75,175,350,1307.54826628785
"2020-07-27",71.0273132304514,0,75,175,350,1307.54826628785
"2020-07-28",80.7128559436947,0,75,175,350,1307.54826628785
"2020-07-29",96.8554271324337,0,75,175,350,1307.54826628785
"2020-07-30",93.6269128946859,0,75,175,350,1307.54826628785
"2020-07-31",90.3983986569381,0,75,175,350,1307.54826628785
"2020-08-01",90.3983986569381,0,75,175,350,1307.54826628785
"2020-08-02",90.3983986569381,0,75,175,350,1307.54826628785
"2020-08-03",93.6269128946859,0,75,175,350,1307.54826628785
"2020-08-04",93.6269128946859,0,75,175,350,1307.54826628785
"2020-08-05",90.3983986569381,0,75,175,350,1307.54826628785
"2020-08-06",80.7128559436947,0,75,175,350,1307.54826628785
"2020-08-07",71.0273132304514,0,75,175,350,1307.54826628785
"2020-08-08",67.7987989927036,0,75,175,350,1307.54826628785
"2020-08-09",67.7987989927036,0,75,175,350,1307.54826628785
"2020-08-10",58.1132562794602,0,75,175,350,1307.54826628785
"2020-08-11",48.4277135662168,0,75,175,350,1307.54826628785
"2020-08-12",32.2851423774779,0,75,175,350,1307.54826628785
"2020-08-13",45.199199328469,0,75,175,350,1307.54826628785
"2020-08-14",45.199199328469,0,75,175,350,1307.54826628785
"2020-08-15",45.199199328469,0,75,175,350,1307.54826628785
"2020-08-16",45.199199328469,0,75,175,350,1307.54826628785
"2020-08-17",45.199199328469,0,75,175,350,1307.54826628785
"2020-08-18",45.199199328469,0,75,175,350,1307.54826628785
"2020-08-19",45.199199328469,0,75,175,350,1307.54826628785
"2020-08-20",54.8847420417124,0,75,175,350,1307.54826628785
"2020-08-21",54.8847420417124,0,75,175,350,1307.54826628785
"2020-08-22",61.341770517208,0,75,175,350,1307.54826628785
"2020-08-23",67.7987989927036,0,75,175,350,1307.54826628785
"2020-08-24",74.2558274681991,0,75,175,350,1307.54826628785
"2020-08-25",71.0273132304514,0,75,175,350,1307.54826628785
"2020-08-26",71.0273132304514,0,75,175,350,1307.54826628785
"2020-08-27",54.8847420417124,0,75,175,350,1307.54826628785
"2020-08-28",51.6562278039646,0,75,175,350,1307.54826628785
"2020-08-29",51.6562278039646,0,75,175,350,1307.54826628785
"2020-08-30",51.6562278039646,0,75,175,350,1307.54826628785
"2020-08-31",41.9706850907213,0,75,175,350,1307.54826628785
"2020-09-01",38.7421708529735,0,75,175,350,1307.54826628785
"2020-09-02",45.199199328469,0,75,175,350,1307.54826628785
"2020-09-03",35.5136566152257,0,75,175,350,1307.54826628785
"2020-09-04",32.2851423774779,0,75,175,350,1307.54826628785
"2020-09-05",25.8281139019823,0,75,175,350,1307.54826628785
