"Date","0 - 9 years","10 - 19 years","20 - 29 years","30 - 39 years","40 - 49 years","50 - 59 years","60 - 69 years","70 - 79 years","80+ years"
2020-10-11,29.0566281397301,74.2558274681991,138.826112223155,96.8554271324337,74.2558274681991,38.7421708529735,16.1425711887389,6.45702847549558,0
2020-10-12,29.0566281397301,83.9413701814425,158.197197649642,100.083941370181,80.7128559436947,19.3710854264867,16.1425711887389,6.45702847549558,0
2020-10-13,19.3710854264867,87.1698844191903,187.253825789372,100.083941370181,90.3983986569381,19.3710854264867,12.9140569509912,6.45702847549558,0
2020-10-14,16.1425711887389,87.1698844191903,196.939368502615,106.540969845677,90.3983986569381,19.3710854264867,16.1425711887389,6.45702847549558,0
2020-10-15,16.1425711887389,83.9413701814425,187.253825789372,96.8554271324337,83.9413701814425,19.3710854264867,16.1425711887389,6.45702847549558,0
2020-10-16,12.9140569509912,83.9413701814425,180.796797313876,83.9413701814425,80.7128559436947,19.3710854264867,12.9140569509912,6.45702847549558,0
2020-10-17,9.68554271324337,83.9413701814425,177.568283076128,83.9413701814425,77.4843417059469,19.3710854264867,9.68554271324337,3.22851423774779,0
2020-10-18,6.45702847549558,80.7128559436947,167.882740362885,77.4843417059469,67.7987989927036,12.9140569509912,6.45702847549558,3.22851423774779,0
2020-10-19,6.45702847549558,80.7128559436947,161.425711887389,74.2558274681991,67.7987989927036,9.68554271324337,6.45702847549558,3.22851423774779,0
2020-10-20,6.45702847549558,77.4843417059469,145.28314069865,67.7987989927036,61.341770517208,6.45702847549558,6.45702847549558,3.22851423774779,0
2020-10-21,3.22851423774779,71.0273132304514,135.597597985407,67.7987989927036,54.8847420417124,3.22851423774779,3.22851423774779,3.22851423774779,0
2020-10-22,3.22851423774779,61.341770517208,122.683541034416,54.8847420417124,54.8847420417124,3.22851423774779,3.22851423774779,3.22851423774779,0
2020-10-23,0,48.4277135662168,116.22651255892,45.199199328469,38.7421708529735,3.22851423774779,3.22851423774779,0,0
2020-10-24,0,35.5136566152257,100.083941370181,32.2851423774779,22.5995996642345,3.22851423774779,3.22851423774779,0,0
2020-10-25,0,25.8281139019823,71.0273132304514,25.8281139019823,19.3710854264867,0,3.22851423774779,0,0
2020-10-26,0,12.9140569509912,48.4277135662168,19.3710854264867,12.9140569509912,0,3.22851423774779,0,0
2020-10-27,0,3.22851423774779,16.1425711887389,16.1425711887389,3.22851423774779,0,3.22851423774779,0,0
